file_name,text,hate_speech
img24.jpg,انا نظري ضعيف ومش هخش الجيش اقسم بالله انت قناص,1
img28.jpg,لما فيمينست تتابع هانتر وتعرف غون بيبحث ابوه ومش عايز يعرف امه,1
img10.jpg,لا أحد النسويات,1
img7.jpg,يعني لو قلعنا الحجاب وتعرينا هنطلع القمر أوماااال,1
img16.jpg,فيمينيست عربية نفسي اطلع اوروبا حرية وتحرر و حرية في الزنا والاجهاض قد كده,1
img6.jpg,الجسد عمره ماكان وصمة عائدا سبب من اسباب التقدم جسدي ثورة مش عورة يا حمدييي,1
img2.jpg,فيمينيست عربيه كنت أعاني من القمع والعادات والعرف في العالم الشرقي حتى ذهبت الى اوروبا وجدت الزنا والاجهاض من الحريات الشخصية,1
img12.jpg,فيمينيست عندكم تحرر ومساواة للمرأة بالرجل,1
img8.jpg,انتا عمال تدعم الفيمينيزم انت تعرف يعنى ايه فيمينيست بص على الكومنتات يا سيد يا اخويا وانت تعرف,1
img14.jpg,عندما نجرب الطعام الإفريقي للمرة الأخرى مؤهل,1
img5.jpg,لا احد فريق كرة قدم عربي سجل ركلة جزاء,1
img9.jpg,الآن سنرى الجمال الذى يخفيه الحجاب كما تقول الفيمينيزم,1
img4.jpg,فيمينيست عندكم تحرر ومساواة للمرأة بالرجل,1
img31.jpg,اكتئاب المراة المجتمع اكتئاب الرجل,0
img15.jpg,الحجاب ليس له علاقة بالدين,1
img32.jpg,بالله عليك اذا عرفت ألي أنثى شادة متصدر ملحدة إنسانية ليبرالية نسوية وطنية وفخورة,1
img3.jpg,فيمينيست عربية نفسي اطلع اوروبا حرية وتحرر و حرية في الزنا والاجهاض قد كده,1
img18.jpg,معنى فرح شعبى نسى كان يفنى ايه اصلا,0
img29.jpg,واحد توفي الصعيد والحكومه راحت تحقق الجريمه ق,1
img17.jpg,الوجه العلم,1
img11.jpg,اليمنيون حاليا يا يا .. سمب يا شباب الي يعزني يعمله اليمنيون قديما انا غاضب منك هيا نازلني في المعركة,1
img19.jpg,معنى فرح شعبى نسى كان يفنى ايه اصلا,0
img26.jpg,الشهير فيلمه لله جر ف المالكي,1
img1.jpg,حان وقت العودة للاسلام الوسطى ومحاربة التطرف دانا تغيرت عشانك,1
img27.jpg,عندما تقوم بتنزيل أشاوس الزرقاء وتجرب كلمة سر,1
img33.jpg,مسلم كيوت لا تخافوا الكل سيدخل الجنة,1
img20.jpg,ملحد مذا الجو حار للغاية استطيع يطيقه انا,0
img35.jpg,لما تعمل باسورد الواي فاي قانوني تليفونه وتلاقي الشارع كله معا فاي,0
img23.jpg,يسطى انا جاي اجيبلك الولد الي فنشك قولي مكانه,0
img25.jpg,ياصاحبي بحاول افتح التلفون ببصمة رتوش راضي يفتح,0
img34.jpg,اتمانع لو جلست انها مؤخرتك ضعها حيثما تريد,0
img22.jpg,لما الضيوف يقعدوا ساكتين لربك نبعد مولين جماعة ولله,0
img21.jpg,لواحد يسألك انت وصغير حافظ ايه تقوله والله احد فيقول سمع سورة الإخلاص,0
img60.jpg,العرب ايام الجاهلية,1
img58.jpg,هامان عندما قال له فرعون ان يبني له صرحا ليطلع الى اله موسى,1
img65.jpg,تشكيل أهلك للمرة الأف انك ماتحب البامية,0
img63.jpg,شركة نصابة بدي اقل قيمتهم شركة زين الو معك شذى من شركة زين كيف بقدر اساعدك,0
img57.jpg,اللون ماسك بعد يعرف انه حمودة سيتم كنترول البقعة عمان بده يركب الشريحة عشان يزيد مهاراته حساب عدد الركاب الممكن تحميلهم الواقف دون التأثير على كافة القهوة الي بيده,0
img51.jpg,لما تعمل غلط وانت أبوك الشارع,0
img43.jpg,بعد سنين أول يوم,0
img46.jpg,لما تسأل فيمينيست او علماني ازاي نتقدم ونبقي زي الغرب الاهتمام بالتعليم ومحاربة الفساد توفير فرص عمل الاهتمام بالصحة الحرية الجنسية منع الحجاب والنقاب القضاء على الدين اغلاق الازهر شرعنة الدعارة السماح بالاجهاض,1
img36.jpg,انظر اليه يمشي وسط المطر بلا مظلة,0
img47.jpg,في هذه اللحظة ادرك ابو سمرة ان هناك اشياء اجمل من طيور الجنة,1
img50.jpg,لما تبقى فيمينست ومش عارفه تعملى ايه,1
img49.jpg,انا بنزل صورتي ستوري بتقعد 24 ساعة بقعد بعدها في السرير اسبوع صورتها اللي بتنزلها,1
img52.jpg,فيمينست وواضحة تجيب خدامه للبيت,1
img37.jpg,تهامة تفرق الشعب بدون رواتب البنية التحتية تنهارالحوثيون يحتفلون بيوم الغدير,1
img59.jpg,عندما تخبر موري قومي عن أمجاد بطل مسلم ثم تخبره انه تركي,1
img45.jpg,أرني أكبر عدو قلت اكبر عدو مثالي,1
img41.jpg,دكاترة اليمن مغص طبيعي فيك سرطان,1
